date;Counts
13:31:00;2,140625
13:32:00;2,8046875
13:33:00;2,8828125
13:34:00;2,578125
13:35:00;2,84375
13:36:00;3,3203125
13:37:00;3,2265625
13:38:00;3,3984375
13:39:00;2,9375
13:40:00;2,828125
13:41:00;2,3984375
13:42:00;2,2421875
13:43:00;1,8671875
13:44:00;2,8828125
13:45:00;3,203125
13:46:00;2,703125
13:47:00;2,3125
13:48:00;2,515625
13:49:00;2,9921875
13:50:00;3,34375
13:51:00;3,8046875
13:52:00;4,2578125
13:53:00;3,6484375
13:54:00;3,8125
13:55:00;3,8671875
13:56:00;3
13:57:00;3,25
13:58:00;3,671875
13:59:00;3,5078125
14:00:00;2,9765625
14:01:00;3,421875
14:02:00;3,1015625
14:03:00;2,7734375
14:04:00;2,2421875
14:05:00;2,6796875
